Value,_name,_oid,_valueType
,.1.3.6.1.4.1.17409.1.1.1.1.2.13.1.3.6.1.4.1.17409.1.11.4.1.4.2,.1.3.6.1.4.1.17409.1.1.1.1.2.13.1.3.6.1.4.1.17409.1.11.4.1.4.2,OctetString
,.1.3.6.1.4.1.17409.1.1.1.1.2.13.1.3.6.1.4.1.17409.1.11.4.1.4.3,.1.3.6.1.4.1.17409.1.1.1.1.2.13.1.3.6.1.4.1.17409.1.11.4.1.4.3,OctetString
0x0F,.1.3.6.1.4.1.17409.1.1.1.1.2.13.1.3.6.1.4.1.17409.1.11.7.1.2.1,.1.3.6.1.4.1.17409.1.1.1.1.2.13.1.3.6.1.4.1.17409.1.11.7.1.2.1,OctetString
0x0F,.1.3.6.1.4.1.17409.1.1.1.1.2.13.1.3.6.1.4.1.17409.1.11.7.1.2.2,.1.3.6.1.4.1.17409.1.1.1.1.2.13.1.3.6.1.4.1.17409.1.11.7.1.2.2,OctetString
0x0F,.1.3.6.1.4.1.17409.1.1.1.1.2.13.1.3.6.1.4.1.17409.1.11.7.1.2.3,.1.3.6.1.4.1.17409.1.1.1.1.2.13.1.3.6.1.4.1.17409.1.11.7.1.2.3,OctetString
0x0F,.1.3.6.1.4.1.17409.1.1.1.1.2.13.1.3.6.1.4.1.17409.1.11.7.1.2.4,.1.3.6.1.4.1.17409.1.1.1.1.2.13.1.3.6.1.4.1.17409.1.11.7.1.2.4,OctetString
0x0F,.1.3.6.1.4.1.17409.1.1.1.1.2.13.1.3.6.1.4.1.17409.1.11.7.1.2.5,.1.3.6.1.4.1.17409.1.1.1.1.2.13.1.3.6.1.4.1.17409.1.11.7.1.2.5,OctetString
0x0F,.1.3.6.1.4.1.17409.1.1.1.1.2.13.1.3.6.1.4.1.17409.1.11.7.1.2.6,.1.3.6.1.4.1.17409.1.1.1.1.2.13.1.3.6.1.4.1.17409.1.11.7.1.2.6,OctetString
0x0F,.1.3.6.1.4.1.17409.1.1.1.1.2.13.1.3.6.1.4.1.17409.1.11.7.1.2.7,.1.3.6.1.4.1.17409.1.1.1.1.2.13.1.3.6.1.4.1.17409.1.11.7.1.2.7,OctetString
0x0F,.1.3.6.1.4.1.17409.1.1.1.1.2.13.1.3.6.1.4.1.17409.1.11.7.1.2.8,.1.3.6.1.4.1.17409.1.1.1.1.2.13.1.3.6.1.4.1.17409.1.11.7.1.2.8,OctetString
5,.1.3.6.1.4.1.17409.1.1.1.1.3.11.1.3.6.1.4.1.17409.1.11.2.0,.1.3.6.1.4.1.17409.1.1.1.1.3.11.1.3.6.1.4.1.17409.1.11.2.0,Integer
5,.1.3.6.1.4.1.17409.1.1.1.1.3.11.1.3.6.1.4.1.17409.1.11.3.0,.1.3.6.1.4.1.17409.1.1.1.1.3.11.1.3.6.1.4.1.17409.1.11.3.0,Integer
1,.1.3.6.1.4.1.17409.1.1.1.1.3.12.1.3.6.1.4.1.17409.1.3.1.13.0,.1.3.6.1.4.1.17409.1.1.1.1.3.12.1.3.6.1.4.1.17409.1.3.1.13.0,Integer
5,.1.3.6.1.4.1.17409.1.1.1.1.3.13.1.3.6.1.4.1.17409.1.11.4.1.2.1,.1.3.6.1.4.1.17409.1.1.1.1.3.13.1.3.6.1.4.1.17409.1.11.4.1.2.1,Integer
5,.1.3.6.1.4.1.17409.1.1.1.1.3.13.1.3.6.1.4.1.17409.1.11.4.1.2.2,.1.3.6.1.4.1.17409.1.1.1.1.3.13.1.3.6.1.4.1.17409.1.11.4.1.2.2,Integer
5,.1.3.6.1.4.1.17409.1.1.1.1.3.13.1.3.6.1.4.1.17409.1.11.4.1.2.3,.1.3.6.1.4.1.17409.1.1.1.1.3.13.1.3.6.1.4.1.17409.1.11.4.1.2.3,Integer
1,.1.3.6.1.4.1.17409.1.1.1.1.3.13.1.3.6.1.4.1.17409.1.11.4.1.3.1,.1.3.6.1.4.1.17409.1.1.1.1.3.13.1.3.6.1.4.1.17409.1.11.4.1.3.1,Integer
1,.1.3.6.1.4.1.17409.1.1.1.1.3.13.1.3.6.1.4.1.17409.1.11.4.1.3.2,.1.3.6.1.4.1.17409.1.1.1.1.3.13.1.3.6.1.4.1.17409.1.11.4.1.3.2,Integer
1,.1.3.6.1.4.1.17409.1.1.1.1.3.13.1.3.6.1.4.1.17409.1.11.4.1.3.3,.1.3.6.1.4.1.17409.1.1.1.1.3.13.1.3.6.1.4.1.17409.1.11.4.1.3.3,Integer
1,.1.3.6.1.4.1.17409.1.1.1.1.3.13.1.3.6.1.4.1.17409.1.11.4.1.4.1,.1.3.6.1.4.1.17409.1.1.1.1.3.13.1.3.6.1.4.1.17409.1.11.4.1.4.1,Integer
1,.1.3.6.1.4.1.17409.1.1.1.1.3.13.1.3.6.1.4.1.17409.1.11.4.1.4.2,.1.3.6.1.4.1.17409.1.1.1.1.3.13.1.3.6.1.4.1.17409.1.11.4.1.4.2,Integer
1,.1.3.6.1.4.1.17409.1.1.1.1.3.13.1.3.6.1.4.1.17409.1.11.4.1.4.3,.1.3.6.1.4.1.17409.1.1.1.1.3.13.1.3.6.1.4.1.17409.1.11.4.1.4.3,Integer
1,.1.3.6.1.4.1.17409.1.1.1.1.3.13.1.3.6.1.4.1.17409.1.11.7.1.2.1,.1.3.6.1.4.1.17409.1.1.1.1.3.13.1.3.6.1.4.1.17409.1.11.7.1.2.1,Integer
1,.1.3.6.1.4.1.17409.1.1.1.1.3.13.1.3.6.1.4.1.17409.1.11.7.1.2.2,.1.3.6.1.4.1.17409.1.1.1.1.3.13.1.3.6.1.4.1.17409.1.11.7.1.2.2,Integer
1,.1.3.6.1.4.1.17409.1.1.1.1.3.13.1.3.6.1.4.1.17409.1.11.7.1.2.3,.1.3.6.1.4.1.17409.1.1.1.1.3.13.1.3.6.1.4.1.17409.1.11.7.1.2.3,Integer
1,.1.3.6.1.4.1.17409.1.1.1.1.3.13.1.3.6.1.4.1.17409.1.11.7.1.2.4,.1.3.6.1.4.1.17409.1.1.1.1.3.13.1.3.6.1.4.1.17409.1.11.7.1.2.4,Integer
5,.1.3.6.1.4.1.17409.1.1.1.1.3.13.1.3.6.1.4.1.17409.1.11.7.1.2.5,.1.3.6.1.4.1.17409.1.1.1.1.3.13.1.3.6.1.4.1.17409.1.11.7.1.2.5,Integer
1,.1.3.6.1.4.1.17409.1.1.1.1.3.13.1.3.6.1.4.1.17409.1.11.7.1.2.6,.1.3.6.1.4.1.17409.1.1.1.1.3.13.1.3.6.1.4.1.17409.1.11.7.1.2.6,Integer
2,.1.3.6.1.4.1.17409.1.1.1.1.3.13.1.3.6.1.4.1.17409.1.11.7.1.2.7,.1.3.6.1.4.1.17409.1.1.1.1.3.13.1.3.6.1.4.1.17409.1.11.7.1.2.7,Integer
1,.1.3.6.1.4.1.17409.1.1.1.1.3.13.1.3.6.1.4.1.17409.1.11.7.1.2.8,.1.3.6.1.4.1.17409.1.1.1.1.3.13.1.3.6.1.4.1.17409.1.11.7.1.2.8,Integer
380,.1.3.6.1.4.1.17409.1.1.1.1.4.11.1.3.6.1.4.1.17409.1.11.2.0,.1.3.6.1.4.1.17409.1.1.1.1.4.11.1.3.6.1.4.1.17409.1.11.2.0,Integer
120,.1.3.6.1.4.1.17409.1.1.1.1.4.11.1.3.6.1.4.1.17409.1.11.3.0,.1.3.6.1.4.1.17409.1.1.1.1.4.11.1.3.6.1.4.1.17409.1.11.3.0,Integer
